OBJECTID,COUNTY_NAME,MUNI_NAME,SWIS,PARCEL_ADDR,PRINT_KEY,SBL,CITYTOWN_NAME,CITYTOWN_SWIS,LOC_ST_NBR,LOC_STREET,LOC_UNIT,LOC_ZIP,PROP_CLASS,ROLL_SECTION,LAND_AV,TOTAL_AV,FULL_MARKET_VAL,YR_BLT,FRONT,DEPTH,SQ_FT,ACRES,SCHOOL_CODE,SCHOOL_NAME,SEWER_TYPE,SEWER_DESC,WATER_SUPPLY,WATER_DESC,UTILITIES,UTILITIES_DESC,BLDG_STYLE,BLDG_STYLE_DESC,HEAT_TYPE,HEAT_TYPE_DESC,FUEL_TYPE,FUEL_TYPE_DESC,SQFT_LIVING,GFA,NBR_KITCHENS,NBR_FULL_BATHS,NBR_BEDROOMS,USED_AS_CODE,USED_AS_DESC,AG_DIST_CODE,AG_DIST_NAME,PRIMARY_OWNER,MAIL_ADDR,PO_BOX,MAIL_CITY,MAIL_STATE,MAIL_ZIP,ADD_OWNER,ADD_MAIL_ADDR,ADD_MAIL_PO_BOX,ADD_MAIL_CITY,ADD_MAIL_STATE,ADD_MAIL_ZIP,BOOK,PAGE,GRID_EAST,GRID_NORTH,MUNI_PARCEL_ID,SWIS_SBL_ID,SWIS_PRINT_KEY_ID,ROLL_YR,SPATIAL_YR,OWNER_TYPE,NYS_NAME,NYS_NAME_SOURCE,DUP_GEO,CALC_ACRES,Shape_Length,Shape_Area
41,Bronx,Bronx,600100,3946 PRATT AVENUE,,2049640040,Bronx,600100,3946,PRATT AVENUE,,,01,,6480,37560,,2008,30,103,3090,,11,,,,,,,,B1,Brick,,,,,,2290,,,,,,,,FRANCIOSA REALTY LLC,,,,,,,,,,,,,,1030206,263859,,2049640040,,2020,2020,8,,,,0.0690517129890771,81.3735302359833,279.442368187568
42,Bronx,Bronx,600100,3939 SECOR AVENUE,,2049650134,Bronx,600100,3939,SECOR AVENUE,,,01,,9540,37080,,2007,29,95,2712,,11,,,,,,,,B1,Brick,,,,,,2083,,,,,,,,SECOR PROPERTY LLC,,,,,,,,,,,,,,1030600,263788,,2049650134,,2020,2020,8,,,,0.0630329621974308,76.0428240764193,255.085347891569
43,Bronx,Bronx,600100,3935 SECOR AVENUE,,2049650136,Bronx,600100,3935,SECOR AVENUE,,,01,,7860,36120,,2007,20,95,1940,,11,,,,,,,,B1,Brick,,,,,,2083,,,,,,,,SECOR PROPERTY LLC,,,,,,,,,,,,,,1030596,263743,,2049650136,,2020,2020,8,,,,0.0450655181366042,71.0463510461014,182.3736814999
44,Bronx,Bronx,600100,3933 SECOR AVENUE,,2049650137,Bronx,600100,3933,SECOR AVENUE,,,01,,9540,37080,,2007,29,95,2712,,11,,,,,,,,B1,Brick,,,,,,2083,,,,,,,,SECOR PROPERTY LLC,,,,,,,,,,,,,,1030595,263718,,2049650137,,2020,2020,8,,,,0.0647741967669714,76.473233189095,262.13187419222
45,Bronx,Bronx,600100,3937 SECOR AVENUE,,2049650135,Bronx,600100,3937,SECOR AVENUE,,,01,,7860,36120,,2007,20,95,1940,,11,,,,,,,,B1,Brick,,,,,,2083,,,,,,,,SECOR PROPERTY LLC,,,,,,,,,,,,,,1030598,263764,,2049650135,,2020,2020,8,,,,0.0453073132755333,71.1297952660202,183.352191710781
46,Bronx,Bronx,600100,3910 SECOR AVENUE,,2049680033,Bronx,600100,3910,SECOR AVENUE,,,01,,11220,43320,,1920,50,95,4750,,11,,,,,,,,B1,Brick,,,,,,3472,,,,,,,,PIELAB LLC,,,,,,,,,,,,,,1030733,263468,,2049680033,,2020,2020,8,,,,0.107959647008722,87.8237879840904,436.897190857285
47,Bronx,Bronx,600100,3915 DYRE AVENUE,,2049680018,Bronx,600100,3915,DYRE AVENUE,,,04,,20040,44160,,2007,17,89,1501,,11,,,,,,,,S2,Primarily Two Family with Store or Office,,,,,,2500,,,,,,,,PETARKO LLC,,,,,,,,,,,,,,1030827,263477,,2049680018,,2020,2020,8,,,,0.0349894495644537,65.5594936902547,141.59727868615
48,Bronx,Bronx,600100,3913 DYRE AVENUE,,2049680118,Bronx,600100,3913,DYRE AVENUE,,,04,,20040,44160,,2007,16,89,1466,,11,,,,,,,,S2,Primarily Two Family with Store or Office,,,,,,3430,,,,,,,,PETARKO LLC,,,,,,,,,,,,,,1030825,263461,,2049680118,,2020,2020,8,,,,0.0340685592933014,65.1711047067172,137.870567978012
49,Bronx,Bronx,600100,3911 DYRE AVENUE,,2049680019,Bronx,600100,3911,DYRE AVENUE,,,04,,20040,44160,,2007,17,89,1501,,11,,,,,,,,S2,Primarily Two Family with Store or Office,,,,,,3510,,,,,,,,PETARKO LLC,,,,,,,,,,,,,,1030824,263444,,2049680019,,2020,2020,8,,,,0.0348059166908871,65.2693739656777,140.854547498036
50,Bronx,Bronx,600100,3909 DYRE AVENUE,,2049680020,Bronx,600100,3909,DYRE AVENUE,,,01,,9060,35340,,1910,25,89,2225,,11,,,,,,,,B2,Frame,,,,,,2398,,,,,,,,S & E HOMES 812 LLC,,,,,,,,,,,,,,1030822,263422,,2049680020,,2020,2020,8,,,,0.0562277338716235,71.4364517812492,227.545565935378
51,Bronx,Bronx,600100,3903 DYRE AVENUE,,2049680021,Bronx,600100,3903,DYRE AVENUE,,,05,,49950,192600,,1988,50,88,4430,,11,,,,,,,,K1,One Story Store Building,,,,,,2310,,,,,,,,"3901 DYRE ASSOCIATES, LLC",,,,,,,,,,,,,,1030819,263385,,2049680021,,2020,2020,8,,,,0.0989555725150225,83.8962506788178,400.458994164688
52,Bronx,Bronx,600100,3828 DYRE AVENUE,,2049500001,Bronx,600100,3828,DYRE AVENUE,,,05,,184950,775800,,1920,149,105,13700,,11,,,,,,,,K1,One Story Store Building,,,,,,7280,,,,,,,,3830 JEROMI LLC,,,,,,,,,,,,,,1030999,263171,,2049500001,,2020,2020,8,,,,0.314760179525572,145.30114559246,1273.78925402884
53,Bronx,Bronx,600100,2235 LIGHT STREET,,2049500025,Bronx,600100,2235,LIGHT STREET,,,06,,73800,263250,,1931,50,213,8216,,11,,,,,,,,F1,Heavy Manufacturing (Fireproof),,,,,,8200,,,,,,,,LIGHT ST GROUP LLC,,,,,,,,,,,,,,1031115,262902,,2049500025,,2020,2020,8,,,,0.200163788442105,155.678397850596,810.034112788847
54,Bronx,Bronx,600100,3811 DYRE AVENUE,,2049470043,Bronx,600100,3811,DYRE AVENUE,,,05,,126000,298350,,1931,50,110,5600,,11,,,,,,,,K1,One Story Store Building,,,,,,5500,,,,,,,,"3811 DYRE AVENUE, LLC",,,,,,,,,,,,,,1030794,262936,,2049470043,,2020,2020,8,,,,0.133150992156015,101.534333030312,538.8429477555
55,Bronx,Bronx,600100,3815 HARPER AVENUE,,2049450105,Bronx,600100,3815,HARPER AVENUE,,,01,,7920,33300,,1930,30,100,3000,,11,,,,,,,,B3,Converted (From One Family),,,,,,1894,,,,,,,,KELDAT LLC,,,,,,,,,,,,,,1030289,262997,,2049450105,,2020,2020,8,,,,0.0702147777939428,80.450735664935,284.149124462806
