"Join_Count,N,10,0","TARGET_FID,N,10,0","JOIN_FID,N,10,0","globalid,C,254","CreationDa,D","Creator,C,254","EditDate,D","Editor,C,254","Facade_Mas,N,19,11","Window_Con,N,19,11","Paint_Cond,N,19,11","Garden_Con,N,19,11","Shed,C,254","is_there_a,C,254","Additional,C,254","SymbolID,C,20","Block_ID,N,19,11","Block_Name,C,254"
1,58,12,f7983733-dbb5-49ad-8de5-bea2d82cbf78,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,3,2,3,No,,,,3300.2091,E 209th & Hull
1,59,12,16f473ba-36d2-42fa-829b-241f26f1d9d8,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,0,0,No,,,,3300.2091,E 209th & Hull
1,60,12,804f33b8-aa39-48d7-8525-033110161ffe,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,0,0,No,,,,3300.2091,E 209th & Hull
1,61,12,79f166ae-3a69-4d0b-8690-e3f96324451a,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,4,1,No,,,,3300.2091,E 209th & Hull
1,62,12,91e97958-7686-4a3b-8a38-a66d658e8f82,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,0,0,No,,,,3300.2091,E 209th & Hull
1,63,12,2f42d71c-2aa0-41eb-88ab-064fc2bc4cb9,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,5,4,3,0,No,,,,3300.2091,E 209th & Hull
1,64,12,3b2260cb-3276-4c07-8739-ab107955a9e5,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,3,0,No,,,,3300.2091,E 209th & Hull
1,65,12,2ba56ada-1043-4205-86fe-17245a49f810,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,3,1,No,,,,3300.2091,E 209th & Hull
1,66,12,7154a287-2a53-4298-82e7-70f037528d4b,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,5,5,5,0,No,,,,3300.2091,E 209th & Hull
1,67,12,6057ec2d-353e-4ea3-8be4-ee1cb5a69ea1,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,0,0,No,,,,3300.2091,E 209th & Hull
1,68,11,28d15b4a-c030-4780-84ca-6d450de49ec3,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,3,0,0,No,,,,3300.209,E 209th & Decatur
1,69,19,135657e8-381f-4faf-8188-7abd26e6ffc6,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,3,0,No,,,,3240.2071,E 207th & Hull
1,70,19,45f2a73c-0e53-476c-8c59-31dfe3f6ed4a,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,4,0,No,,,,3240.2071,E 207th & Hull
1,71,19,760490ff-70b6-46ae-8138-4ea48ed67663,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,0,4,No,,,,3240.2071,E 207th & Hull
1,72,19,26051d48-9afc-4412-8f42-84392ebb3ff4,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,5,5,5,0,No,,,,3240.2071,E 207th & Hull
1,73,19,3db904ee-de56-41f9-8223-9139327ceac1,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,3,2,No,,,,3240.2071,E 207th & Hull
1,74,19,0de7122e-1d87-4136-867a-85626dc72f9d,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,4,3,No,,,,3240.2071,E 207th & Hull
1,75,18,cebc9da6-9536-4786-8b1e-48ee39989aec,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,0,0,No,,,,3240.207,E 207th & Decatur
1,76,21,487cf66a-5a08-4892-8bb8-1bd302d6cd46,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,0,0,No,,,,207.1,E 207th
1,77,19,302197a3-b8f0-4b70-812b-4993d63f525f,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,4,0,No,,,,3240.2071,E 207th & Hull
1,78,18,d9044ef2-7953-4398-846e-d1a849606a88,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,4,0,No,,,,3240.207,E 207th & Decatur
1,79,18,8cc16535-60f4-4f23-8d15-32a241830538,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,5,5,5,2,No,,,,3240.207,E 207th & Decatur
1,80,18,c4ac1dff-a6e4-4db8-894f-37368bca7fa8,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,5,3,No,,,,3240.207,E 207th & Decatur
1,81,18,dd2e5a0f-138a-4ca1-81b9-d4dea3c3d423,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,5,5,4,0,No,,,,3240.207,E 207th & Decatur
1,82,18,b2e45af2-4fd8-4fbf-8bc3-6bcdd6f76905,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,3,4,0,No,,,,3240.207,E 207th & Decatur
1,83,18,0bd1007b-6974-4b49-88ab-a5b40f02abbd,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,4,0,No,,,,3240.207,E 207th & Decatur
1,84,18,2cc6d81e-906c-432d-8695-14d4ba5281f9,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,2,0,3,No,,,,3240.207,E 207th & Decatur
1,85,18,2505783f-231b-48a1-8ce1-71358c1b8467,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,0,0,No,,,,3240.207,E 207th & Decatur
1,86,18,00402113-919c-4f4c-8fdf-6a3cd7289d92,04/15/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,3,0,0,No,,,,3240.207,E 207th & Decatur
1,87,18,9449ec6c-31df-4160-8949-499968bc3e60,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,3,3,0,No,,,,3240.207,E 207th & Decatur
